Metric,var
Max Acc thresh,0.3406611254955488
Max Acc,0.7083333333333334
Max individual Acc thresh,0.07743536243349068
Max individual Acc,0.8055555555555557
Null Acc,0.6319444444444444
Max F1 thresh,0.9452699821754527
Max F1,0.5822784810126582
Max individual F1 thresh,0.17722384232911956
Max individual F1,0.7736111111111111
Null F1,0.5380710659898478
AUROC,0.6471076093717603
Individual AUROC,0.7089120370370371
Null AUROC,0.5
