Metric,var
Max Acc thresh,1.4661879146503074
Max Acc,0.705267558528428
Max individual Acc thresh,0.5273997396451848
Max individual Acc,0.8680323299888516
Null Acc,0.6659698996655519
Max F1 thresh,149.0587162763687
Max F1,0.6914091936699321
Max individual F1 thresh,2.5267160986320847
Max individual F1,0.8278089663959229
Null F1,0.5007834534628643
AUROC,0.8154449182004813
Individual AUROC,0.8232302118171684
Null AUROC,0.5
