,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-10-25 17:11:07.4051,0.3811781337730287,0.8035114503816794,0.13191912178942253,0.8320610687022901,0.7993129770992367,-0.18528092955095374,0.3346699764496213,0.1595133326033525,0.4652440173920879,0.3342869858223663,0.5249257136094221,0.5461925890585242,0.5,0 days 02:03:58.983374,6H,False,root_cause_5,3,None,transformer
2024-10-26 14:55:21.6788,7.2079901961423625,0.7994656488549619,0.4774469656688388,0.8217557251908397,0.7993129770992367,13.8241444186481,0.3343932841516154,0.3636271502152837,0.4276068874776694,0.3342869858223663,0.4662497726427232,0.4815042938931298,0.5,0 days 00:43:10.498377,24H,False,root_cause_5,5,None,transformer
2024-10-25 11:18:41.9549,0.15160222679094032,0.7993129770992367,0.009955515669260765,0.8007633587786259,0.7993129770992367,0.1196891050751852,0.3342869858223663,0.006174222779224301,0.3362849872773537,0.3342869858223663,0.5001300300175177,0.4992557251908397,0.5,0 days 00:01:34.046906,1H,True,root_cause_5,3,None,transformer
2024-10-25 15:05:22.9887,0.1558022156084964,0.7993129770992367,0.0051444614496509436,0.8016030534351144,0.7993129770992367,0.07799271433962594,0.3342869858223663,0.004975555102649218,0.33774385072095003,0.3342869858223663,0.5027953456845927,0.5026908396946564,0.5,0 days 00:01:14.476994,6H,True,root_cause_5,3,None,transformer
2024-10-25 10:35:17.4770,0.13266934474211234,0.7994656488549619,0.009469330388362446,0.8002290076335876,0.7993129770992367,0.1728773909544928,0.3342869858223663,0.0058681352698345774,0.3352671755725192,0.3342869858223663,0.4978652300532336,0.4969298664122137,0.5,0 days 00:02:25.942956,15min,True,root_cause_5,3,None,transformer
2024-10-25 15:06:57.9975,0.262754115381575,0.7993129770992367,0.005149643189302905,0.8013740458015265,0.7993129770992367,0.09238885857860736,0.3342869858223663,0.004580292888672686,0.3375233248515692,0.3342869858223663,0.5012716387185983,0.5012595419847328,0.5,0 days 00:01:20.106333,6H,True,root_cause_5,5,None,transformer
2024-10-25 19:01:02.7183,0.08709391666598604,0.8062595419847328,0.031022875758816387,0.8308396946564884,0.7993129770992367,-1.8799927449715525e-11,0.3358040605865292,0.038847826141319576,0.4667382687487722,0.3342869858223663,0.539953162312226,0.5638788167938931,0.5,0 days 07:41:54.888361,1H,False,root_cause_5,5,None,transformer
2024-10-25 21:37:51.1041,0.4704338410709236,0.8013740458015267,0.26911073393146845,0.8304580152671754,0.7993129770992367,-0.15324813388642428,0.3346496815286624,0.24118071418740786,0.4549698417156101,0.3342869858223663,0.4905169266243827,0.5165248091603054,0.5,0 days 01:29:11.375622,12H,False,root_cause_5,3,None,transformer
2024-10-26 14:47:54.8201,7.628056220811852,0.7994656488549619,0.479262630522331,0.8232061068702288,0.7993129770992367,-0.7503681586094126,0.33437201907790143,0.3636816184163279,0.4256092306439461,0.3342869858223663,0.4553748204708478,0.47026860687022903,0.5,0 days 00:41:44.260511,24H,False,root_cause_5,3,None,transformer
2024-10-25 22:45:03.3376,0.5144518318043099,0.8022137404580153,0.24410860009690635,0.8318320610687021,0.7993129770992367,-0.08815046597022214,0.3344570956046053,0.2515273336508131,0.4588654678134579,0.3342869858223663,0.4975711685944251,0.5235712468193384,0.5,0 days 02:13:53.169170,12H,False,root_cause_5,5,None,transformer
