,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode
2024-11-01 22:36:42.1615,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4842352700700087,0.9985663082437276,0.4950180695622491,0.2619258982385647,0.7139664835632772,0.7141757150889029,0.5,0 days 00:06:00.731911,1H,False,1_random_5,5,False,biggest
2024-11-02 18:38:21.5738,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.3025145280784378,0.7519713261648745,0.33678050690673406,0.2619258982385647,0.5901386845061578,0.5904842223627803,0.5,0 days 00:07:30.785043,12H,True,1_random_5,5,False,none
2024-11-01 22:30:19.2253,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:06:08.085259,1H,False,1_random_5,3,False,next
2024-11-01 22:17:17.5648,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.31881902558594283,0.7903225806451613,0.34643937434961275,0.2619258982385647,0.6108618306139811,0.6112582577834,0.5,0 days 00:06:05.591812,1H,True,1_random_5,5,False,none
2024-11-03 03:00:56.9847,True,0.8493010752688172,0.7795698924731183,0.8560752688172041,0.8493010752688172,False,0.2619258982385647,0.996415770609319,0.35685233420156276,0.2619258982385647,0.5422304112575645,0.5424379787757397,0.5,0 days 00:08:16.443958,24H,True,1_random_5,5,False,biggest
2024-11-02 18:51:45.2199,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:05:33.020940,12H,False,1_random_5,5,False,biggest
2024-11-01 14:02:18.1784,True,0.8493010752688172,0.7949820788530466,0.8513440860215052,0.8493010752688172,False,0.2619258982385647,0.9917562724014337,0.34209577239030253,0.2619258982385647,0.5545522819162705,0.5547071561599549,0.5,0 days 00:10:04.522973,15min,True,1_random_5,5,False,next
2024-11-01 22:30:32.6776,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:07:34.614583,1H,False,1_random_5,3,False,none
2024-11-02 18:45:44.7704,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:05:33.764040,12H,False,1_random_5,3,False,biggest
2024-11-02 18:45:52.7340,True,0.8493010752688172,0.5641577060931899,0.8589784946236556,0.8493010752688172,True,0.39102662374163216,0.9935483870967742,0.4340653917792768,0.2619258982385647,0.6501167901499834,0.6505095228055379,0.5,0 days 00:07:25.510027,12H,False,1_random_5,3,False,next
2024-11-01 13:52:06.8356,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.3145225701616679,0.7741935483870968,0.3461636643964834,0.2619258982385647,0.6054010015720548,0.605790770609319,0.5,0 days 00:08:55.255912,15min,True,1_random_5,3,False,none
2024-11-01 13:53:05.9933,True,0.8493010752688172,0.7949820788530466,0.8513440860215052,0.8493010752688172,False,0.2619258982385647,0.9917562724014337,0.34209577239030253,0.2619258982385647,0.5545522819162705,0.5547071561599549,0.5,0 days 00:09:54.799906,15min,True,1_random_5,3,False,next
2024-11-03 02:36:10.0104,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.2992095623674571,0.7616487455197133,0.3336000242031097,0.2619258982385647,0.585938046781599,0.5863103081734485,0.5,0 days 00:08:23.025291,24H,True,1_random_5,3,False,none
2024-11-02 18:48:16.4403,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:05:35.420173,12H,False,1_random_5,5,False,none
2024-11-01 14:09:07.0798,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:06:15.172370,15min,False,1_random_5,5,False,none
2024-11-02 05:58:47.8278,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:05:42.115610,6H,False,1_random_5,5,False,next
2024-11-02 05:48:00.5395,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:05:48.431606,6H,False,1_random_5,3,False,none
2024-11-02 05:44:08.1156,True,0.8493010752688172,0.8168458781362007,0.8507706093189963,0.8493010752688172,False,0.2619258982385647,0.9924731182795699,0.3335693136534651,0.2619258982385647,0.5439806769761307,0.5441235768500948,0.5,0 days 00:10:24.853867,6H,True,1_random_5,5,False,next
2024-11-01 22:04:24.1926,True,0.8493010752688172,0.7784946236559139,0.8512365591397847,0.8493010752688172,True,0.26644182124789206,0.9921146953405018,0.3473737913429358,0.2619258982385647,0.564773833712697,0.564953615854944,0.5,0 days 00:06:13.476426,1H,True,1_random_5,3,False,next
2024-11-01 21:57:43.8451,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.31881902558594283,0.7903225806451613,0.34643937434961275,0.2619258982385647,0.6108618306139811,0.6112582577834,0.5,0 days 00:06:08.557920,1H,True,1_random_5,3,False,none
2024-11-02 18:53:26.7680,True,0.8493010752688172,0.5641577060931899,0.8589784946236556,0.8493010752688172,True,0.39102662374163216,0.9935483870967742,0.4340653917792768,0.2619258982385647,0.6501167901499834,0.6505095228055379,0.5,0 days 00:07:28.607848,12H,False,1_random_5,5,False,next
2024-11-01 22:38:08.2721,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:07:30.548703,1H,False,1_random_5,5,False,next
2024-11-02 05:23:31.1530,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.30967528711889614,0.774910394265233,0.34009507712172504,0.2619258982385647,0.5992400662427019,0.5996490442054958,0.5,0 days 00:06:14.729939,6H,True,1_random_5,3,False,none
2024-11-01 14:08:20.1925,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:08:36.469909,15min,False,1_random_5,3,False,none
2024-11-03 03:16:20.1178,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:07:20.365489,24H,False,1_random_5,5,False,biggest
2024-11-02 18:30:55.7913,True,0.8493010752688172,0.7978494623655914,0.8510931899641576,0.8493010752688172,False,0.2619258982385647,0.9931899641577061,0.3411459144979481,0.2619258982385647,0.5594530259282557,0.5595695850024596,0.5,0 days 00:05:34.874612,12H,True,1_random_5,3,False,next
2024-11-01 13:54:58.9477,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.3145225701616679,0.7741935483870968,0.3461636643964834,0.2619258982385647,0.6054010015720548,0.605790770609319,0.5,0 days 00:05:48.264998,15min,True,1_random_5,5,False,none
2024-11-02 05:41:51.4060,True,0.8493010752688172,0.7462365591397849,0.8571505376344084,0.8493010752688172,False,0.2619258982385647,0.9960573476702509,0.3705148897645391,0.2619258982385647,0.5598030790719689,0.560020908004779,0.5,0 days 00:05:39.343471,6H,True,1_random_5,5,False,biggest
2024-11-02 05:58:45.3137,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:06:09.000442,6H,False,1_random_5,5,False,none
2024-11-03 02:52:52.5679,True,0.8493010752688172,0.8336917562724014,0.8510573476702507,0.8493010752688172,False,0.2619258982385647,0.9921146953405018,0.329290500679,0.2619258982385647,0.5390799329641455,0.539189770890435,0.5,0 days 00:08:19.425880,24H,True,1_random_5,5,False,next
2024-11-01 14:11:58.6003,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:10:44.796351,15min,False,1_random_5,3,False,next
2024-11-02 18:42:35.4515,True,0.8493010752688172,0.7745519713261648,0.8562544802867381,0.8493010752688172,False,0.2619258982385647,0.996415770609319,0.35892959178372924,0.2619258982385647,0.545100847036013,0.5452765918195235,0.5,0 days 00:05:24.506688,12H,True,1_random_5,5,False,biggest
2024-11-01 22:39:48.3984,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:10:35.774397,1H,False,1_random_5,5,False,none
2024-11-01 14:14:52.5031,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4842352700700087,0.9985663082437276,0.4950180695622491,0.2619258982385647,0.7139664835632772,0.7141757150889029,0.5,0 days 00:05:41.540561,15min,False,1_random_5,5,False,biggest
2024-11-01 14:01:07.6835,True,0.8493010752688172,0.7326164874551971,0.8575089605734766,0.8493010752688172,True,0.2692012877510348,0.9956989247311828,0.37586674532677333,0.2619258982385647,0.5666641206887483,0.5668939753320683,0.5,0 days 00:07:53.982271,15min,True,1_random_5,5,False,biggest
2024-11-02 05:35:57.9696,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.30967528711889614,0.774910394265233,0.34009507712172504,0.2619258982385647,0.5992400662427019,0.5996490442054958,0.5,0 days 00:06:16.015600,6H,True,1_random_5,5,False,none
2024-11-02 05:59:42.4135,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:05:36.323870,6H,False,1_random_5,5,False,biggest
2024-11-02 18:37:40.9512,True,0.8493010752688172,0.7745519713261648,0.8562544802867381,0.8493010752688172,False,0.2619258982385647,0.996415770609319,0.35892959178372924,0.2619258982385647,0.545100847036013,0.5452765918195235,0.5,0 days 00:09:47.787563,12H,True,1_random_5,3,False,biggest
2024-11-01 22:28:41.7210,True,0.8493010752688172,0.7494623655913979,0.8569713261648745,0.8493010752688172,False,0.2619258982385647,0.9956989247311828,0.3690811980082667,0.2619258982385647,0.5588929408983144,0.5590930054817626,0.5,0 days 00:10:28.491595,1H,True,1_random_5,5,False,biggest
2024-11-03 02:44:08.6782,True,0.8493010752688172,0.8336917562724014,0.8510573476702507,0.8493010752688172,False,0.2619258982385647,0.9921146953405018,0.329290500679,0.2619258982385647,0.5390799329641455,0.539189770890435,0.5,0 days 00:08:20.000901,24H,True,1_random_5,3,False,next
2024-11-02 18:47:31.6600,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:09:48.521147,12H,False,1_random_5,3,False,none
2024-11-01 22:23:50.8376,True,0.8493010752688172,0.7784946236559139,0.8512365591397847,0.8493010752688172,True,0.26644182124789206,0.9921146953405018,0.3473737913429358,0.2619258982385647,0.564773833712697,0.564953615854944,0.5,0 days 00:06:08.858836,1H,True,1_random_5,5,False,next
2024-11-03 03:17:02.0231,True,0.8493010752688172,0.5637992831541219,0.8589784946236556,0.8493010752688172,True,0.39112882620471157,0.9935483870967742,0.4341677983332962,0.2619258982385647,0.6501868007787259,0.6505798018131984,0.5,0 days 00:08:20.268738,24H,False,1_random_5,5,False,next
2024-11-03 03:09:44.7178,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:08:21.682649,24H,False,1_random_5,5,False,none
2024-11-03 03:08:37.7175,True,0.8493010752688172,0.5637992831541219,0.8589784946236556,0.8493010752688172,True,0.39112882620471157,0.9935483870967742,0.4341677983332962,0.2619258982385647,0.6501868007787259,0.6505798018131984,0.5,0 days 00:08:19.075689,24H,False,1_random_5,3,False,next
2024-11-01 22:10:43.9550,True,0.8493010752688172,0.7494623655913979,0.8569713261648745,0.8493010752688172,False,0.2619258982385647,0.9956989247311828,0.3690811980082667,0.2619258982385647,0.5588929408983144,0.5590930054817626,0.5,0 days 00:06:02.075150,1H,True,1_random_5,3,False,biggest
2024-11-02 05:54:39.2878,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:10:25.913285,6H,False,1_random_5,3,False,next
2024-11-01 13:48:50.5633,True,0.8493010752688172,0.7326164874551971,0.8575089605734766,0.8493010752688172,True,0.2692012877510348,0.9956989247311828,0.37586674532677333,0.2619258982385647,0.5666641206887483,0.5668939753320683,0.5,0 days 00:05:40.315857,15min,True,1_random_5,3,False,biggest
2024-11-01 22:31:26.3307,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4842352700700087,0.9985663082437276,0.4950180695622491,0.2619258982385647,0.7139664835632772,0.7141757150889029,0.5,0 days 00:05:45.133759,1H,False,1_random_5,3,False,biggest
2024-11-02 18:27:51.3102,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.3025145280784378,0.7519713261648745,0.33678050690673406,0.2619258982385647,0.5901386845061578,0.5904842223627803,0.5,0 days 00:09:55.122682,12H,True,1_random_5,3,False,none
2024-11-03 02:52:36.4675,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.2992095623674571,0.7616487455197133,0.3336000242031097,0.2619258982385647,0.585938046781599,0.5863103081734485,0.5,0 days 00:08:24.109568,24H,True,1_random_5,5,False,none
2024-11-03 03:09:16.4386,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:08:15.803928,24H,False,1_random_5,3,False,biggest
2024-11-02 05:29:23.5540,True,0.8493010752688172,0.7462365591397849,0.8571505376344084,0.8493010752688172,False,0.2619258982385647,0.9960573476702509,0.3705148897645391,0.2619258982385647,0.5598030790719689,0.560020908004779,0.5,0 days 00:05:42.611475,6H,True,1_random_5,3,False,biggest
2024-11-02 05:33:09.4302,True,0.8493010752688172,0.8168458781362007,0.8507706093189963,0.8493010752688172,False,0.2619258982385647,0.9924731182795699,0.3335693136534651,0.2619258982385647,0.5439806769761307,0.5441235768500948,0.5,0 days 00:10:27.430864,6H,True,1_random_5,3,False,next
2024-11-02 18:36:47.8174,True,0.8493010752688172,0.7978494623655914,0.8510931899641576,0.8493010752688172,False,0.2619258982385647,0.9931899641577061,0.3411459144979481,0.2619258982385647,0.5594530259282557,0.5595695850024596,0.5,0 days 00:05:35.819225,12H,True,1_random_5,5,False,next
2024-11-02 05:53:46.6903,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4841330676069293,0.9985663082437276,0.4950091646445082,0.2619258982385647,0.7138964729345346,0.7141054360812424,0.5,0 days 00:05:34.493073,6H,False,1_random_5,3,False,biggest
2024-11-03 02:44:29.5921,True,0.8493010752688172,0.7795698924731183,0.8560752688172041,0.8493010752688172,False,0.2619258982385647,0.996415770609319,0.35685233420156276,0.2619258982385647,0.5422304112575645,0.5424379787757397,0.5,0 days 00:08:16.526346,24H,True,1_random_5,3,False,biggest
2024-11-01 14:18:47.5101,True,0.8493010752688172,0.5645161290322581,0.8589784946236556,0.8493010752688172,True,0.3909244212785528,0.9935483870967742,0.43396298522525734,0.2619258982385647,0.6500467795212407,0.6504392437978775,0.5,0 days 00:10:04.601159,15min,False,1_random_5,5,False,next
2024-11-03 03:01:19.6885,True,0.8493010752688172,1.0,0.8493010752688169,0.8493010752688172,True,0.4155443553939795,0.9655913978494624,0.42027906642212387,0.2619258982385647,0.733800494686069,0.7339544240635322,0.5,0 days 00:08:23.611023,24H,False,1_random_5,3,False,none
2024-11-01 14:12:05.3025,True,0.8493010752688172,0.432258064516129,0.8663978494623654,0.8493010752688172,True,0.4842352700700087,0.9985663082437276,0.4950180695622491,0.2619258982385647,0.7139664835632772,0.7141757150889029,0.5,0 days 00:09:41.359867,15min,False,1_random_5,3,False,biggest
2024-11-02 05:11:57.8163,True,0.8333333333333334,0.49001536098310294,0.8333333333333331,0.8333333333333334,True,0.339989759344598,1.0,0.4799941481969131,0.2857142857142857,0.6059907834101382,0.6059907834101382,0.5,0 days 00:00:11.316962,6H,True,1_random_3,3,False,next
2024-11-02 05:15:28.0201,True,0.8333333333333334,0.15668202764976957,0.8333333333333331,0.8333333333333334,True,0.5622119815668203,1.0,0.6069782751810402,0.2857142857142857,0.8059907834101382,0.8059907834101383,0.5,0 days 00:00:11.333397,6H,False,1_random_3,3,False,biggest
2024-11-02 18:16:50.9408,True,0.8333333333333334,0.15668202764976957,0.8333333333333331,0.8333333333333334,True,0.5622119815668203,1.0,0.6069782751810402,0.2857142857142857,0.8059907834101382,0.8059907834101383,0.5,0 days 00:00:19.775793,12H,False,1_random_3,3,False,biggest
2024-11-01 13:42:25.0525,True,0.8333333333333334,0.3102918586789555,0.8333333333333331,0.8333333333333334,True,0.45980542754736303,1.0,0.5484602443127788,0.2857142857142857,0.7138248847926267,0.7138248847926268,0.5,0 days 00:00:14.845353,15min,False,1_random_3,5,False,next
2024-11-02 18:14:19.2860,True,0.8333333333333334,0.500768049155146,0.8333333333333331,0.8333333333333334,True,0.332821300563236,1.0,0.47589788603613475,0.2857142857142857,0.5995391705069124,0.5995391705069124,0.5,0 days 00:00:19.089709,12H,True,1_random_3,3,False,next
2024-11-02 05:14:57.8254,True,0.8333333333333334,0.3102918586789555,0.8333333333333331,0.8333333333333334,True,0.45980542754736303,1.0,0.5484602443127788,0.2857142857142857,0.7138248847926267,0.7138248847926268,0.5,0 days 00:00:11.374989,6H,False,1_random_3,3,False,next
2024-11-01 13:40:45.5535,True,0.8333333333333334,0.47465437788018433,0.8333333333333331,0.8333333333333334,True,0.3502304147465437,1.0,0.4858459512837392,0.2857142857142857,0.6152073732718893,0.6152073732718893,0.5,0 days 00:00:33.816080,15min,True,1_random_3,5,False,next
2024-11-01 13:41:45.6234,True,0.8333333333333334,0.5038402457757296,0.8333333333333331,0.8333333333333334,True,0.3307731694828469,1.0,0.47472752541876967,0.2857142857142857,0.5976958525345623,0.5976958525345623,0.5,0 days 00:00:34.271567,15min,True,1_random_3,5,False,biggest
2024-11-02 05:13:27.7249,True,0.8333333333333334,0.49001536098310294,0.8333333333333331,0.8333333333333334,True,0.339989759344598,1.0,0.4799941481969131,0.2857142857142857,0.6059907834101382,0.6059907834101382,0.5,0 days 00:00:11.258345,6H,True,1_random_3,5,False,next
2024-11-01 21:50:47.6609,True,0.8333333333333334,0.3102918586789555,0.8333333333333331,0.8333333333333334,True,0.45980542754736303,1.0,0.5484602443127788,0.2857142857142857,0.7138248847926267,0.7138248847926268,0.5,0 days 00:00:12.625122,1H,False,1_random_3,5,False,next
2024-11-03 02:27:24.2081,True,0.8333333333333334,0.3118279569892473,0.8333333333333331,0.8333333333333334,True,0.45878136200716857,1.0,0.5478750640040962,0.2857142857142857,0.7129032258064516,0.7129032258064516,0.5,0 days 00:00:17.041576,24H,False,1_random_3,5,False,next
2024-11-03 02:24:43.8230,True,0.8333333333333334,0.5529953917050692,0.8333333333333331,0.8333333333333334,True,0.2980030721966206,1.0,0.45600175554092603,0.2857142857142857,0.5682027649769585,0.5682027649769585,0.5,0 days 00:00:16.899934,24H,True,1_random_3,3,False,biggest
2024-11-02 05:14:27.4896,True,0.8333333333333334,1.0,0.8333333333333331,0.8333333333333334,True,0.4477726574500768,1.0,0.4776168531928901,0.2857142857142857,0.7373271889400923,0.7373271889400922,0.5,0 days 00:00:10.991728,6H,False,1_random_3,3,False,none
2024-11-03 02:26:43.8943,True,0.8333333333333334,0.15668202764976957,0.8333333333333331,0.8333333333333334,True,0.5622119815668203,1.0,0.6069782751810402,0.2857142857142857,0.8059907834101382,0.8059907834101383,0.5,0 days 00:00:16.983239,24H,False,1_random_3,3,False,biggest
2024-11-01 13:42:55.7705,True,0.8333333333333334,0.15668202764976957,0.8333333333333331,0.8333333333333334,True,0.5622119815668203,1.0,0.6069782751810402,0.2857142857142857,0.8059907834101382,0.8059907834101383,0.5,0 days 00:00:15.229748,15min,False,1_random_3,5,False,biggest
