,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-11-21 18:30:44.2465,1.0,0.6653826399589111,0.9684517573426651,0.7478171545968156,0.6653826399589111,0.7719120480745331,0.5116374030216415,0.9807879920443068,0.6718174480886345,0.5014431402732346,0.603034205717708,0.638771186440678,0.5,0 days 04:50:52.972035,1H,True,root_cause_3,5,None,transformer
2024-11-21 15:56:25.7056,1.0,0.6653826399589111,0.943571548977045,0.7534668721109399,0.6653826399589111,0.6193576162635067,0.5033763044812769,0.963011858656486,0.6617470100520949,0.5014431402732346,0.5666259290009428,0.5803479712378017,0.5,0 days 03:49:13.344819,15min,False,root_cause_3,5,None,transformer
2024-11-22 01:15:43.0500,1.0,0.6653826399589111,0.9890020760467856,0.7604006163328197,0.6653826399589111,0.9999999999943104,0.5387247278382581,0.9929425211710892,0.6928277936752513,0.5014431402732346,0.6563837630288207,0.6789184215031673,0.5,0 days 00:46:58.279705,6H,True,root_cause_3,5,None,transformer
2024-11-22 00:29:57.6292,0.9999999999999996,0.6782229070364664,0.9867485974020428,0.7711864406779662,0.6653826399589111,0.9999999999976158,0.5615409729023833,0.9884628416500528,0.7066365837552278,0.5014431402732346,0.6757855946835273,0.6957926724875878,0.5,0 days 00:22:46.690296,6H,True,root_cause_3,3,None,transformer
2024-11-22 23:24:44.5023,1.0,0.6843862352336929,0.9871032403747868,0.7740112994350282,0.6653826399589111,0.9999999996564778,0.5569131832797428,0.9911551244872772,0.7070401350062366,0.5014431402732346,0.6767663199225846,0.6869649888717686,0.5,0 days 00:15:04.732163,12H,False,root_cause_3,3,None,transformer
2024-11-21 15:36:02.1722,1.0,0.6653826399589111,0.9637891609659164,0.7408834103749359,0.6653826399589111,0.8012938661513216,0.5135646687697161,0.9687386399513874,0.6609435761978135,0.5014431402732346,0.5993057614571722,0.6275680534155109,0.5,0 days 01:56:10.898142,1H,True,root_cause_3,3,None,transformer
2024-11-21 16:10:56.2320,1.0,0.6653826399589111,0.9435715489770458,0.7534668721109399,0.6653826399589111,0.6193576162634535,0.5033763044812769,0.9630118586564862,0.6617470100520949,0.5014431402732346,0.5666259290009428,0.5803479712378017,0.5,0 days 04:03:38.571497,15min,True,root_cause_3,5,None,transformer
2024-11-21 13:47:50.2525,1.0,0.6653826399589111,0.9196930798328457,0.7547508988186954,0.6653826399589111,0.5814807214524039,0.504233700254022,0.9503929614607266,0.6630603859417419,0.5014431402732346,0.5622600577653386,0.5835687382297552,0.5,0 days 01:40:36.820898,15min,False,root_cause_3,3,None,transformer
2024-11-22 22:39:45.8062,1.0,0.6843862352336929,0.9871032403747868,0.7740112994350282,0.6653826399589111,0.9999999996564778,0.5569131832797428,0.9911551244872772,0.7070401350062366,0.5014431402732346,0.6767663199225846,0.6869649888717686,0.5,0 days 00:15:09.019188,12H,True,root_cause_3,3,None,transformer
2024-11-23 15:07:15.2925,1.0,0.6764252696456087,0.9899659960690552,0.7781201848998459,0.6653826399589111,0.999859298394238,0.537180910099889,0.9911869572676127,0.7034448602245214,0.5014431402732346,0.6583607641185484,0.6578603834959768,0.5,0 days 00:13:55.576455,24H,False,root_cause_3,5,None,transformer
2024-11-22 23:40:42.9380,1.0,0.6730868002054443,0.993867659354566,0.7673343605546995,0.6653826399589111,0.999999999225315,0.5519601742377099,0.9929714282668172,0.6997542006016583,0.5014431402732346,0.6676619551769171,0.6807588597842835,0.5,0 days 00:25:32.601904,12H,False,root_cause_3,5,None,transformer
2024-11-21 18:05:33.1885,1.0,0.6653826399589111,0.9684517573426651,0.7478171545968156,0.6653826399589111,0.7719120480745248,0.5116374030216415,0.9807879920443068,0.6718174480886345,0.5014431402732346,0.603034205717708,0.638771186440678,0.5,0 days 04:13:06.690703,1H,False,root_cause_3,5,None,transformer
2024-11-21 15:29:05.9896,1.0,0.6653826399589111,0.9637891609659168,0.7408834103749359,0.6653826399589111,0.8012938661513258,0.5135646687697161,0.9687386399513874,0.6609435761978135,0.5014431402732346,0.5993057614571722,0.6275680534155109,0.5,0 days 01:41:10.001006,1H,False,root_cause_3,3,None,transformer
2024-11-22 01:40:50.5674,1.0,0.6653826399589111,0.9890020760467856,0.7604006163328197,0.6653826399589111,0.9999999999943104,0.5387247278382581,0.9929425211710892,0.6928277936752513,0.5014431402732346,0.6563837630288207,0.6789184215031673,0.5,0 days 00:47:31.383241,6H,False,root_cause_3,5,None,transformer
2024-11-22 23:09:09.9864,1.0,0.6730868002054443,0.993867659354566,0.7673343605546995,0.6653826399589111,0.999999999225315,0.5519601742377099,0.9929714282668172,0.6997542006016583,0.5014431402732346,0.6676619551769171,0.6807588597842835,0.5,0 days 00:29:02.253256,12H,True,root_cause_3,5,None,transformer
2024-11-23 14:54:08.9595,0.9999999999999984,0.6764252696456087,0.9790045473264009,0.7724704673857217,0.6653826399589111,0.994569215364562,0.5288966725043783,0.9854078727959704,0.695318805488297,0.5014431402732346,0.6501304918465922,0.6476737716144496,0.5,0 days 00:08:21.186092,24H,True,root_cause_3,3,None,transformer
