,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-10-11 04:42:44.9032,0.9702966213226318,0.798969551921287,0.10006530582904816,0.8345765190799096,0.7989030714000798,0.9999613165855408,0.3692475265498775,0.09839438647031784,0.5213294945613433,0.3348554538963519,0.6210648708473606,0.6373969512349549,0.5,0 days 01:13:15.037369,12H,False,random_5,5,None,transformer
2024-10-11 04:59:58.1955,0.9999900460243224,0.7989030714000798,0.02266592435415006,0.8148384523334665,0.7989030714000798,0.999762237071991,0.3384840473318103,0.01677720807492733,0.4726319023459267,0.3348554538963519,0.5495293297929488,0.5730242424386321,0.5,0 days 04:19:32.521484,1H,True,random_5,5,None,unidirectional
2024-10-11 08:38:59.7255,0.9998908638954164,0.7989030714000798,0.021361688151955605,0.814333200372291,0.7989030714000798,0.99995356798172,0.33779402803168795,0.017521487548947334,0.4708623097170499,0.3348554538963519,0.5466165191059262,0.5704176520029632,0.5,0 days 09:09:22.042614,15min,True,random_5,5,None,unidirectional
2024-10-11 04:07:58.0294,0.99999737739563,0.7989030714000798,0.029897005133298363,0.817710410849621,0.7989030714000798,0.9999027252197266,0.34354815332942634,0.022441809996962547,0.4788246159546524,0.3348554538963519,0.5582843523980839,0.5796772528982341,0.5,0 days 01:18:02.353265,12H,True,random_5,5,None,unidirectional
2024-10-11 04:43:41.5045,0.9999964833259584,0.7989030714000798,0.03293285472495052,0.8196582901209947,0.7989030714000798,0.9993693828582764,0.35096828617346976,0.02604283951222897,0.4871592806429014,0.3348554538963519,0.5693851154883116,0.5934679366029086,0.5,0 days 01:47:14.716959,12H,False,random_5,5,None,unidirectional
2024-10-11 12:00:48.6307,0.9999281167984008,0.7989097194522005,0.019025326877368468,0.8166068341975802,0.7989030714000798,1.926713476263497e-11,0.34653593712016856,0.017114246264100075,0.4809168685266654,0.3348554538963519,0.5627968453107759,0.5863485098866033,0.5,0 days 12:23:20.446463,15min,False,random_5,5,None,unidirectional
2024-10-11 03:29:19.5007,0.9999911785125732,0.7989363116606835,0.04680890962481499,0.8341975801090279,0.7989030714000798,1.954674644366605e-06,0.3695714139122305,0.048773910850286484,0.513114561120232,0.3348554538963519,0.6198657147401883,0.6252223536003951,0.5,0 days 01:27:35.979608,6H,True,random_5,5,None,transformer
2024-10-11 05:23:06.4912,0.9999976158142091,0.7989030714000798,0.05037908165031963,0.8215396888711608,0.7989030714000798,0.9997716546058656,0.3538457057984099,0.031971335411071784,0.4903872022105111,0.3348554538963519,0.5722436642366927,0.5987526829638916,0.5,0 days 01:14:41.548103,24H,False,random_5,5,None,unidirectional
2024-10-11 09:05:17.2123,0.07498499006032944,0.8013628506847493,0.0245301965624094,0.8319837787528254,0.7989030714000798,6.825978857705195e-07,0.34712800634305346,0.02069721557199955,0.4963666966795123,0.3348554538963519,0.5992529951517931,0.6024423716767654,0.5,0 days 09:28:36.199455,15min,True,random_5,5,None,transformer
2024-10-11 04:56:55.7277,0.9999523758888244,0.7989030714000798,0.02540166400573113,0.8177702433187077,0.7989030714000798,0.9990495443344116,0.3487292295654356,0.020522329956293103,0.4849456176213608,0.3348554538963519,0.568829160393831,0.5918531089140883,0.5,0 days 02:09:27.715551,6H,False,random_5,5,None,unidirectional
2024-10-11 04:21:29.6383,0.999984622001648,0.7989030714000798,0.02025995563743154,0.8167796835527191,0.7989030714000798,0.9998289942741394,0.3475131523738824,0.016451271250844002,0.4821613626433197,0.3348554538963519,0.5644192514168307,0.587965929524316,0.5,0 days 03:24:33.131607,1H,False,random_5,5,None,unidirectional
2024-10-11 04:58:15.8004,0.9999998211860656,0.7989030714000798,0.13551966845989227,0.8344369099853742,0.7989030714000798,0.9999982714653016,0.38324328325068463,0.14449161291122434,0.5281979040209439,0.3348554538963519,0.6260193608055098,0.6419128978542621,0.5,0 days 00:59:13.582298,24H,True,random_5,5,None,transformer
2024-10-11 04:21:52.9111,0.999975860118866,0.7989363116606835,0.05342191085219383,0.8349022736338253,0.7989030714000798,4.450517280929488e-06,0.3642594762809844,0.056138362735509865,0.5141403429019217,0.3348554538963519,0.6195886043055775,0.6296180891915336,0.5,0 days 01:31:55.765148,6H,False,random_5,5,None,transformer
2024-10-11 03:58:51.8339,0.999999225139618,0.7989030714000798,0.08550108969211577,0.8339914904932856,0.7989030714000798,0.9999688267707824,0.3799291935661697,0.08285796642303468,0.5206576587050181,0.3348554538963519,0.6231278586135687,0.6316267387822034,0.5,0 days 01:06:16.751042,12H,True,random_5,5,None,transformer
2024-10-11 05:09:51.7672,0.9988777637481691,0.798969551921287,0.030151540413498882,0.8318109293976865,0.7989030714000798,1.01852526768198e-06,0.34596893659174976,0.03137990087270737,0.4949815716436138,0.3348554538963519,0.5978773959296835,0.6047398633033854,0.5,0 days 03:40:51.826810,1H,False,random_5,5,None,transformer
2024-10-11 04:15:43.8953,0.519298255443573,0.7991357532243053,0.027729947119951248,0.8324424943491556,0.7989030714000798,7.653646889593801e-07,0.35311065697343297,0.023159218952059742,0.5003473247441924,0.3348554538963519,0.6036536336989253,0.6065905148124933,0.5,0 days 03:23:26.382481,1H,True,random_5,5,None,transformer
