,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-22 15:51:02.2241,3.96,0.7998129967274428,0.5926228088476487,0.8093267882187939,0.7998129967274428,1.7936765074868877,0.3549800354924578,0.4917409578423467,0.4387477078324723,0.3335930196322842,0.5278936678290852,0.5213978494623656,0.5,0 days 00:20:49.486511,12H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-26 09:36:17.7935,15.11,0.8100981767180926,56.69133707339879,0.8514726507713885,0.7998129967274428,2738.6138112400713,0.5216302987429938,160.35363151037637,0.5678811422850694,0.3335930196322842,0.6485745809215777,0.6444271076827178,0.5,0 days 06:09:05.229320,12H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 15:38:53.1065,12.08,0.8064983637213651,1.0681861536607675,0.8231182795698925,0.7998129967274428,0.007364623122585328,0.34167625242949506,8.287199554892737,0.4552273655936721,0.3335930196322842,0.5060189336759615,0.5130792231572385,0.5,0 days 02:12:20.992187,1H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 14:13:29.4163,30.91,0.7998129967274428,6.551317090188966,0.8008181393174381,0.7998129967274428,1.8961929905101151,0.3335930196322842,0.8493266447907878,0.3658012717407574,0.3335930196322842,0.3285002945678944,0.3148255123110488,0.5,0 days 00:09:21.437926,6H,True,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-22 15:20:56.0706,22.06,0.7998129967274428,4.366931347161781,0.8037166900420758,0.7998129967274428,6.503774804081651,0.3335930196322842,1.5773619485492092,0.38319517243560136,0.3335930196322842,0.4207295122221037,0.4100340404394577,0.5,0 days 00:06:51.013959,12H,True,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-22 16:45:30.7889,13.82,0.8056802244039271,12.350713895720409,0.8489247311827957,0.7998129967274428,0.5627187269011117,0.5337844100472704,11.876975603265207,0.599415792737301,0.3335930196322842,0.697891807651738,0.7072947833878759,0.5,0 days 01:06:30.810615,12H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 11:10:05.0865,0.67,0.7998129967274428,0.1943971449785332,0.807667134174848,0.7998129967274428,0.28447703044848144,0.3335930196322842,0.07470938547771094,0.3973628608515779,0.3335930196322842,0.4076569084231975,0.41420470040517376,0.5,0 days 00:17:05.122985,15min,True,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-25 22:48:12.7101,5.1000000000000005,0.7998129967274428,0.5342122487143526,0.8154745208041141,0.7998129967274428,1.2893346305548323,0.3607387862796834,0.4237183197455194,0.4406313896834396,0.3335930196322842,0.5691501340168571,0.5680784926757052,0.5,0 days 00:03:37.353290,6H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-26 00:47:34.1407,9.18,0.7998129967274428,1.1919434976811394,0.8168770453482935,0.7998129967274428,1.1404179178910117,0.3335930196322842,1.1359680835944408,0.4336355621443184,0.3335930196322842,0.5367294590390776,0.534878399174069,0.5,0 days 00:04:31.683031,12H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 12:19:18.3211,3.42,0.7998129967274428,0.6161767054134664,0.8075268817204301,0.7998129967274428,0.5410990537820317,0.3335930196322842,0.20327559267185025,0.38972773065340255,0.3335930196322842,0.3941667202683133,0.398380376344086,0.5,0 days 00:04:40.313458,1H,True,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
