,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-12-03 20:35:30.0345,1.0,0.7998129967274428,1.0014914032535658,0.8019167835437121,0.7998129967274428,0.217979962945683,0.3339320577899258,0.9853018595246512,0.4050922449997509,0.3335930196322842,0.43602598486336813,0.4336040010908525,0.5,0 days 05:26:35.761110,15min,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-12-03 19:57:17.3006,1.0,0.7998129967274428,1.0018949930325582,0.8036699392239365,0.7998129967274428,0.7434003459389513,0.3533656776458541,0.9232866655632456,0.4748780546147466,0.3335930196322842,0.5878964937233655,0.5859508921614462,0.5,0 days 04:07:20.554837,6H,True,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-12-03 16:38:32.7635,1.0000000000000004,0.7998129967274428,0.9972002707858588,0.8280504908835904,0.7998129967274428,0.9999984788500236,0.3925682710018419,0.9822963621928116,0.5332641689046747,0.3335930196322842,0.6004619084357561,0.5942766284868319,0.5,0 days 00:27:34.613408,6H,False,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-12-03 19:05:19.9331,1.0,0.7998129967274428,1.0016841238923315,0.8034128097241702,0.7998129967274428,0.9999988116298176,0.3529556347548237,0.9599002683045652,0.482465666695596,0.3335930196322842,0.5928073390555503,0.5956432133395668,0.5,0 days 01:21:14.747111,24H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-12-03 15:05:05.3732,1.0,0.7998129967274428,0.9836181626260008,0.8358812529219259,0.7998129967274428,0.9993134791533664,0.3603366649132035,0.9195581811934846,0.5133179598058998,0.3335930196322842,0.6150735643012816,0.6200390564126539,0.5,0 days 00:26:39.024322,6H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 15:49:41.6507,1.0,0.8011687704534829,0.9951771908828164,0.8064516129032258,0.7998129967274428,0.2683257124391205,0.33606299212598423,0.9382167910110714,0.4099296879415004,0.3335930196322842,0.439569643527391,0.4313321548231261,0.5,0 days 00:34:17.885504,1H,True,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-12-03 19:58:09.5492,1.0,0.7998129967274428,1.001333938001048,0.8034595605423095,0.7998129967274428,0.9999998835123349,0.3485522913222264,0.973530472492961,0.480578362184991,0.3335930196322842,0.5914251451776482,0.5943925802555712,0.5,0 days 02:31:35.875613,24H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-12-03 15:39:47.3082,1.0,0.7998129967274428,0.9733094112107288,0.8231416549789621,0.7998129967274428,0.8823676766689159,0.4119522768800831,0.9612599493524456,0.5423664408707387,0.3335930196322842,0.6726172741689824,0.6736661407199626,0.5,0 days 01:01:20.944041,1H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 14:59:13.7847,1.0,0.7998129967274428,0.9744992912001221,0.8318373071528751,0.7998129967274428,0.9999999999938712,0.3716222577911684,0.9418904284334422,0.5203492102520011,0.3335930196322842,0.6310132345195624,0.6311650693470469,0.5,0 days 00:20:47.361763,24H,True,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 15:15:34.8307,1.0,0.7998129967274428,0.986410960779978,0.8428705002337541,0.7998129967274428,0.980499473576062,0.41951547026240704,0.9692471834872136,0.5802142966103022,0.3335930196322842,0.6833644293412173,0.6860577372604021,0.5,0 days 00:37:13.286425,12H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 15:15:08.0071,1.0,0.7998129967274428,0.9862371009615404,0.8427068723702664,0.7998129967274428,0.9804994735760618,0.41951547026240704,0.9692494542766504,0.5802142966103022,0.3335930196322842,0.6833667567811361,0.6860504324450678,0.5,0 days 00:36:45.567034,12H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 16:10:23.7910,1.0,0.7998129967274428,0.9774832849459066,0.8078541374474053,0.7998129967274428,0.9999999657055404,0.3464371917305069,0.9707021085493764,0.4592520260394934,0.3335930196322842,0.5679536387891874,0.5643636044880785,0.5,0 days 01:31:57.294881,15min,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-12-03 17:53:20.8293,0.9999999778546282,0.7998129967274428,0.4798323628550625,0.8086255259467041,0.7998129967274428,0.9999957237852424,0.3335930196322842,0.47022408569824503,0.4015031017456362,0.3335930196322842,0.514278871202833,0.5276724910394265,0.5,0 days 00:18:15.571797,24H,False,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-12-03 17:17:21.3798,0.9999999999961644,0.7998129967274428,0.9973783625752048,0.8206171107994389,0.7998129967274428,0.999999999975093,0.3347799634962482,0.9733222470454024,0.4761623512717696,0.3335930196322842,0.5681693228512174,0.5642651355773726,0.5,0 days 00:38:21.339393,12H,True,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
