,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-22 03:31:24.1167,0.01,0.7998129967274428,4.675081813931743e-06,0.7998129967274427,0.7998129967274428,0.002033093674761048,0.3335930196322842,9.504879264895037e-07,0.3335826710300764,0.3335930196322842,0.4999853869534721,0.4999853903693315,0.5,0 days 00:00:21.593012,24H,True,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-25 11:13:48.4063,0.08038729756001603,0.8295465170640486,0.04754689982843235,0.8411173445535296,0.7998129967274428,0.3936572962080591,0.3456614509246088,0.11181151517156962,0.4303597963930553,0.3335930196322842,0.4640823926153347,0.4792599735078698,0.5,0 days 00:15:23.984480,1H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 14:58:36.2793,0.06,0.8192613370733988,0.025320243104254327,0.8256661991584853,0.7998129967274428,0.0,0.3335930196322842,0.10470029159263568,0.36913778133974495,0.3335930196322842,0.5555247785942579,0.5551323632538571,0.5,0 days 00:04:17.653298,15min,True,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-21 22:32:11.9597,0.5512490702511899,0.8327723235156615,0.3551141512046289,0.8718793828892005,0.7998129967274428,4.931536712131224,0.5375716050769405,0.5949573076245279,0.6702984712183623,0.3335930196322842,0.7290609239955589,0.7499058165809568,0.5,0 days 02:05:34.697871,6H,False,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-21 14:53:10.8064,0.08,0.8223936418887331,0.028055165965404395,0.8274661056568489,0.7998129967274428,0.0,0.3335930196322842,0.10890736832369956,0.3709855517709656,0.3335930196322842,0.5574364360459915,0.5573328171263829,0.5,0 days 00:03:13.014223,15min,True,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-25 11:06:32.8184,0.42,0.8255259467040673,0.12694717157550256,0.8327956989247312,0.7998129967274428,0.0,0.3335930196322842,0.39017310931878185,0.4018209544857512,0.3335930196322842,0.5689366818400279,0.5668100845410627,0.5,0 days 00:04:05.450550,24H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-22 01:46:37.7685,0.2695036980934722,0.8392706872370267,0.1676174375357144,0.8795465170640487,0.7998129967274428,4.638698958566722,0.5567135579754171,0.31061038777729105,0.6786694609646511,0.3335930196322842,0.7479709262757673,0.7577333158017766,0.5,0 days 06:12:05.634115,6H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 14:54:13.4228,0.0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,0.0,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:00:52.290666,15min,True,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-22 10:22:59.4068,1.9555769713961129,0.832328190743338,3.0538193327044887,0.8729780271154745,0.7998129967274428,0.5106953231471193,0.6221523210370794,14.142205149149534,0.6980177043739026,0.3335930196322842,0.8034233119330808,0.7883721462521427,0.5,0 days 06:42:30.707121,24H,False,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-25 11:18:47.5924,0.2387273458383053,0.8057035998129968,0.08887668980751433,0.8245441795231415,0.7998129967274428,0.5729255762065216,0.3463244829704457,0.4422383213293621,0.4502562874838463,0.3335930196322842,0.5309819417144613,0.5402212385070906,0.5,0 days 00:20:24.443755,6H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 22:39:12.0681,0.04,0.8313230481533427,0.0211781206171108,0.8370733987844787,0.7998129967274428,0.0,0.3335930196322842,0.2798883005358574,0.3985818918497741,0.3335930196322842,0.5892321575725694,0.5890975144148355,0.5,0 days 00:02:49.691557,12H,True,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-21 16:08:31.6612,0.11577676754164623,0.7999766245909303,0.021379928654550757,0.8096774193548387,0.7998129967274428,0.16138317069988264,0.3422344434260108,0.019379906518356815,0.4386414730385669,0.3335930196322842,0.5362700541369351,0.5492349423406576,0.5,0 days 01:02:38.660996,15min,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2024-11-25 13:17:09.1760,1.1518571603905814,0.8313464235624124,0.3186541363693767,0.8438756428237493,0.7998129967274428,0.017754691356843606,0.3855360325948561,1.4090645380870543,0.480608880739486,0.3335930196322842,0.5535597384754731,0.549032306763285,0.5,0 days 02:13:30.022334,24H,False,random_5,3,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 17:39:05.9377,0.06349101591454126,0.8186535764375876,0.03724569036385158,0.8395979429640018,0.7998129967274428,0.2015220976106146,0.3867120954003408,0.035869068321787954,0.5242529031429783,0.3335930196322842,0.5885093083127035,0.6094273511765622,0.5,0 days 02:14:53.727855,15min,False,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2024-11-21 16:51:17.3511,0.05664777367601441,0.8089527816736793,0.04137769499344895,0.8468910705937353,0.7998129967274428,0.018759248895925527,0.432195596905934,0.04535172133830405,0.5554846590275958,0.3335930196322842,0.6247170078770942,0.6417032394421068,0.5,0 days 01:51:34.341746,15min,False,random_5,3,None,transformer,resources/rivers_flood.csv,False,[]
