,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-12-02 19:35:13.7189,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:16:16.529869,24H,False,random_5,50,False,corr,resources/rivers_flood.csv,False,[]
2024-12-02 19:46:35.6179,1.0,0.7998129967274428,0.53903693314633,0.8350631136044881,0.7998129967274428,True,0.3803438508662143,0.6905095839177186,0.47755515483425726,0.3335930196322842,0.6140477502760985,0.6140145317126383,0.5,0 days 00:22:43.268843,24H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,False,[]
2024-12-02 20:18:38.5699,0,0.8184665731650304,0.22393641888733054,0.8329359513791492,0.7998129967274428,True,0.41836428999400843,0.6185133239831697,0.4482787536083469,0.3335930196322842,0.633913296324354,0.6339264843384759,0.5,0 days 00:21:12.572210,12H,False,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,2021,10
2024-12-02 19:49:09.8544,0,0.815544647031323,0.4216923796166433,0.8509583917718561,0.7998129967274428,True,0.48020552005796724,0.6834969611968209,0.5338286693826667,0.3335930196322842,0.669379460562493,0.6694171731338631,0.5,0 days 00:23:34.434265,24H,False,random_5,50,False,biggest,resources/rivers_ts_east_germany.csv,False,[]
2024-12-02 20:14:48.0796,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:14:52.773034,24H,True,random_5,50,False,next,resources/rivers_ts_east_germany.csv,2021,10
2024-12-02 19:11:25.3665,1.0,0.7998129967274428,0.707807386629266,0.8155212716222534,0.7998129967274428,False,0.3335930196322842,0.5750350631136045,0.41259044057080524,0.3335930196322842,0.5627092989592617,0.5627123266323827,0.5,0 days 00:38:12.626980,6H,True,random_5,50,False,next,resources/rivers_ts_east_germany.csv,False,[]
2024-12-02 19:15:39.1096,1.0,0.7998129967274428,0.6376811594202898,0.8112201963534362,0.7998129967274428,True,0.4409894748089972,0.7176250584385226,0.4602093428881648,0.3335930196322842,0.6528922720476676,0.6530660744896369,0.5,0 days 00:16:00.098682,12H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-12-02 19:33:49.3423,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:15:14.810143,24H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-12-02 18:58:04.9114,1.0,0.7998129967274428,0.5133239831697055,0.8280972417017297,0.7998129967274428,True,0.37538868673503145,0.6531089294062646,0.4606113226029075,0.3335930196322842,0.6113623623834602,0.6113049322113138,0.5,0 days 00:16:31.619476,6H,False,random_5,50,False,corr,resources/rivers_flood.csv,False,[]
2024-12-02 18:32:03.2531,1.0,0.7998129967274428,0.6951846657316503,0.8099111734455353,0.7998129967274428,False,0.3335930196322842,0.5497896213183731,0.4072307932055478,0.3335930196322842,0.5652417993029857,0.5652436886395512,0.5,0 days 00:21:43.214438,1H,True,random_5,50,False,next,resources/rivers_flood.csv,False,[]
2024-12-02 19:23:46.6932,1.0,0.7998129967274428,0.48620850864890136,0.8355539971949509,0.7998129967274428,True,0.43934845097412967,0.6026180458158018,0.4923651461519624,0.3335930196322842,0.6474154987787014,0.6474627941405641,0.5,0 days 00:30:47.294934,12H,True,random_5,50,False,corr,resources/rivers_ts_east_germany.csv,False,[]
2024-12-02 20:09:36.0582,0,0.8310659186535765,0.2393641888733053,0.8470079476390837,0.7998129967274428,True,0.5065883798730115,0.6764843384759234,0.5262747018707747,0.3335930196322842,0.6819276310609402,0.6819872993610722,0.5,0 days 00:20:20.996685,6H,False,random_5,50,False,biggest,resources/rivers_ts_east_germany.csv,2021,10
2024-12-02 19:28:40.5639,0,0.7998129967274428,0.0,0.7998129967274427,0.7998129967274428,False,0.3335930196322842,0.0,0.3335826710300764,0.3335930196322842,0.5,0.5,0.5,0 days 00:12:58.281952,24H,True,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-12-02 20:01:57.2307,1.0,0.7998129967274428,0.9027582982702197,0.8009350163627863,0.7998129967274428,False,0.3335930196322842,0.4801309022907901,0.3681116115197462,0.3335930196322842,0.527815268595576,0.5279355617889979,0.5,0 days 00:20:58.086344,6H,True,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-12-02 20:03:12.4643,0,0.8405563347358579,0.23468910705937354,0.859186535764376,0.7998129967274428,True,0.5745649597704735,0.740065451145395,0.5890617927083565,0.3335930196322842,0.7270792419988213,0.7271778089449898,0.5,0 days 00:29:49.266508,15min,False,random_5,50,False,biggest,resources/rivers_ts_east_germany.csv,2021,10
2024-12-02 19:58:58.0181,1.0,0.7998129967274428,0.49181860682561945,0.8167134174848059,0.7998129967274428,True,0.5949802522614346,0.9607293127629734,0.5951595363236317,0.3335930196322842,0.7923965636557685,0.7924487688951223,0.5,0 days 00:23:38.243944,1H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
