,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2025-01-10 16:33:43.8049,0.05899097800257318,0.8061477325853202,0.01582527974569961,0.8381954184198221,0.7998129967274428,1.7239196949958568e-06,0.3587496923455575,0.0014111401978880167,0.5013162057646761,0.3335930196322842,0.5914860340090707,0.5936485117656225,0.5,0 days 00:04:12.468899,15min,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2025-01-10 15:33:15.7776,0.5782050895691806,0.8086489013557737,0.1526185011949708,0.8312061711079943,0.7998129967274428,0.9969053268432616,0.33400805738429795,0.09904862195253372,0.4497079111016013,0.3335930196322842,0.5420950475682307,0.5389288218793828,0.5,0 days 00:01:19.939814,15min,True,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2025-01-10 15:54:25.8049,1.000001,0.7998129967274428,0.2958056714309536,0.8297335203366059,0.7998129967274428,4.129455646761926e-06,0.37370707025478,0.3594622313976288,0.5202727964386485,0.3335930196322842,0.6281470553939983,0.6374436068256195,0.5,0 days 00:01:17.925240,12H,False,random_5,5,None,unidirectional,resources/rivers_ts_east_germany.csv,2021,10
2025-01-10 15:59:19.4553,0.7576520906219483,0.7998129967274428,0.0020083589763809665,0.8225806451612904,0.7998129967274428,0.6657989025115967,0.3550608147047226,0.0005113540100865066,0.494182753594238,0.3335930196322842,0.5989704477377393,0.6044930458158018,0.5,0 days 00:01:56.777155,6H,False,random_5,5,None,unidirectional,resources/rivers_ts_east_germany.csv,False,[]
2025-01-10 15:46:37.0810,1.0000008807907104,0.7998129967274428,0.08831558144510726,0.831299672744273,0.7998129967274428,0.9999786615371704,0.4407395299843813,0.18807971477508545,0.5933563503105235,0.3335930196322842,0.7147998754539805,0.7445422315723859,0.5,0 days 00:01:15.768573,24H,False,random_5,5,None,unidirectional,resources/rivers_flood.csv,False,[]
2025-01-10 15:58:31.5211,0.10818870484829302,0.8075970079476391,0.03010505877221384,0.8408602150537633,0.7998129967274428,0.9835336804389954,0.40339398895931294,0.004345396533608437,0.5217272119258941,0.3335930196322842,0.620955238743736,0.6220407706093191,0.5,0 days 00:01:24.199593,6H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2025-01-10 15:56:56.9131,0.31935371620750425,0.7998129967274428,0.000487681801549775,0.8203366058906031,0.7998129967274428,0.1837001740932465,0.35263713464128416,0.00047175513464026153,0.4784573056322901,0.3335930196322842,0.5776515314909583,0.5846864773258531,0.5,0 days 00:02:20.579259,15min,False,random_5,5,None,unidirectional,resources/rivers_ts_east_germany.csv,False,[]
2025-01-10 15:52:50.7874,1.0000004039535522,0.7998129967274428,0.4095752217043552,0.8230949041608228,0.7998129967274428,0.0005276712472550571,0.3526378717680466,0.4763650894165039,0.5043821459582435,0.3335930196322842,0.6043255679062607,0.618638577216768,0.5,0 days 00:01:28.487542,6H,True,random_5,5,None,unidirectional,resources/rivers_ts_east_germany.csv,2021,10
2025-01-10 15:35:05.0635,0.2799394178395587,0.8059841047218327,0.10731449417514058,0.8339410939691443,0.7998129967274428,9.090439447197174e-13,0.3335995169740763,0.11348754912614822,0.4559168019534146,0.3335930196322842,0.5359563479975061,0.5363472027427146,0.5,0 days 00:01:19.063346,15min,False,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2025-01-10 15:54:31.8427,0.9999988079071044,0.7998363721365124,0.5231429564021184,0.8289855072463769,0.7998129967274428,0.011116057634353638,0.3733093613369837,0.5916400551795961,0.5141512107716723,0.3335930196322842,0.6282272360404658,0.6264571645628798,0.5,0 days 00:01:22.510242,12H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,2021,10
2025-01-10 15:43:52.9964,1.0,0.7998129967274428,0.5212635597438476,0.8155913978494623,0.7998129967274428,1.834368049458135e-05,0.39430533357011777,0.3859264850616455,0.5073754918605715,0.3335930196322842,0.6380690921630171,0.6483476507713885,0.5,0 days 00:01:17.741807,12H,False,random_5,5,None,transformer,resources/rivers_flood.csv,False,[]
2025-01-10 16:00:49.0847,0.9976073503494264,0.7998129967274428,0.07690785390720435,0.8249649368863955,0.7998129967274428,0.9844707250595092,0.401852597664116,0.03241897001862526,0.5158453288746195,0.3335930196322842,0.6458881078003555,0.6431423367617267,0.5,0 days 00:01:23.481408,24H,False,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
2025-01-10 15:38:20.3830,0.02999911665916443,0.8019869097709209,0.017673700868229426,0.8238429172510519,0.7998129967274428,0.9997634291648864,0.3466314058115909,0.01908164471387863,0.4857322695538686,0.3335930196322842,0.5822047325767439,0.5903363136979897,0.5,0 days 00:01:46.290697,1H,False,random_5,5,None,unidirectional,resources/rivers_flood.csv,False,[]
2025-01-10 16:00:08.3107,0.9997835159301758,0.7998129967274428,0.04643358565398963,0.8371435250116877,0.7998129967274428,0.9610481262207032,0.4604189894959216,0.06512463092803955,0.5481643414092714,0.3335930196322842,0.648713927001874,0.6491467975689575,0.5,0 days 00:01:16.895757,24H,True,random_5,5,None,transformer,resources/rivers_ts_east_germany.csv,False,[]
