,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.var_absolute_values,method.filter_mode,data_path,data_preprocess.subset_year,data_preprocess.subset_month
2024-11-21 13:50:54.0944,1.0,0.7998129967274428,0.4782608695652174,0.8068256194483403,0.7998129967274428,True,0.3751168224299065,0.6124357176250584,0.43767077034959223,0.3335930196322842,0.6093640743417891,0.6093657472339099,0.5,0 days 00:01:22.935293,1H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 13:57:49.9375,1.0,0.7998129967274428,0.4946236559139785,0.8068256194483403,0.7998129967274428,True,0.3714953271028037,0.5942028985507246,0.4349436392914654,0.3335930196322842,0.6071011679844299,0.6071012544802867,0.5,0 days 00:01:15.824304,1H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 13:54:25.7174,1.0,0.7998129967274428,1.0,0.7998129967274427,0.7998129967274428,True,0.4551645856980704,0.8826554464703132,0.46076270620450144,0.3335930196322842,0.6850473424485617,0.6850699314321333,0.5,0 days 00:01:05.020642,12H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-11-21 13:54:31.1625,1.0,0.7998129967274428,1.0,0.7998129967274427,0.7998129967274428,True,0.4551645856980704,0.8826554464703132,0.46076270620450144,0.3335930196322842,0.6850473424485617,0.6850699314321333,0.5,0 days 00:01:12.028868,15min,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-11-21 13:54:28.8485,0,0.8082748948106592,0.33286582515194013,0.8489948574100047,0.7998129967274428,True,0.520911214953271,0.7414679756895746,0.5672484546257337,0.3335930196322842,0.7004643044703118,0.7004762739597943,0.5,0 days 00:01:09.755316,15min,False,random_5,50,False,biggest,resources/rivers_flood.csv,False,[]
2024-11-21 13:57:47.0054,1.0,0.7998129967274428,0.4946236559139785,0.8068256194483403,0.7998129967274428,True,0.3714953271028037,0.5942028985507246,0.4349436392914654,0.3335930196322842,0.6071011679844299,0.6071012544802867,0.5,0 days 00:01:13.042369,6H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 13:54:27.4989,0,0.8082748948106592,0.33286582515194013,0.8489948574100047,0.7998129967274428,True,0.520911214953271,0.7414679756895746,0.5672484546257337,0.3335930196322842,0.7004643044703118,0.7004762739597943,0.5,0 days 00:01:08.725306,1H,False,random_5,50,False,biggest,resources/rivers_flood.csv,False,[]
2024-11-21 13:54:25.4208,0,0.8082748948106592,0.33286582515194013,0.8489948574100047,0.7998129967274428,True,0.520911214953271,0.7414679756895746,0.5672484546257337,0.3335930196322842,0.7004643044703118,0.7004762739597943,0.5,0 days 00:01:04.608815,24H,False,random_5,50,False,biggest,resources/rivers_flood.csv,False,[]
2024-11-21 13:54:26.4981,1.0,0.7998129967274428,1.0,0.7998129967274427,0.7998129967274428,True,0.4551645856980704,0.8826554464703132,0.46076270620450144,0.3335930196322842,0.6850473424485617,0.6850699314321333,0.5,0 days 00:01:07.826825,6H,False,random_5,50,False,none,resources/rivers_flood.csv,False,[]
2024-11-21 13:57:44.6329,1.0,0.7998129967274428,0.9967274427302478,0.7998129967274427,0.7998129967274428,True,0.5408292715497096,0.9995324918186068,0.540822369153365,0.3335930196322842,0.7787024668515222,0.778694288608384,0.5,0 days 00:01:08.718400,12H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 13:54:25.8308,0,0.8082748948106592,0.33286582515194013,0.8489948574100047,0.7998129967274428,True,0.520911214953271,0.7414679756895746,0.5672484546257337,0.3335930196322842,0.7004643044703118,0.7004762739597943,0.5,0 days 00:01:05.008369,12H,False,random_5,50,False,biggest,resources/rivers_flood.csv,False,[]
2024-11-21 13:57:45.0405,1.0,0.7998129967274428,0.4946236559139785,0.8068256194483403,0.7998129967274428,True,0.3714953271028037,0.5942028985507246,0.4349436392914654,0.3335930196322842,0.6071011679844299,0.6071012544802867,0.5,0 days 00:01:09.326481,12H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 13:54:26.9773,0,0.8082748948106592,0.33286582515194013,0.8489948574100047,0.7998129967274428,True,0.520911214953271,0.7414679756895746,0.5672484546257337,0.3335930196322842,0.7004643044703118,0.7004762739597943,0.5,0 days 00:01:08.095380,6H,False,random_5,50,False,biggest,resources/rivers_flood.csv,False,[]
2024-11-21 13:57:45.3191,1.0,0.7998129967274428,0.9967274427302478,0.7998129967274427,0.7998129967274428,True,0.5408292715497096,0.9995324918186068,0.540822369153365,0.3335930196322842,0.7787024668515222,0.778694288608384,0.5,0 days 00:01:09.409109,24H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,False,[]
2024-11-21 13:51:51.1777,1.0,0.7998129967274428,0.9967274427302478,0.7998129967274427,0.7998129967274428,True,0.5401615810910062,0.9990649836372136,0.5401767626171553,0.3335930196322842,0.7779724970588258,0.7779638070749572,0.5,0 days 00:02:04.679924,12H,False,random_5,50,False,none,resources/rivers_ts_east_germany.csv,2021,10
2024-11-21 13:51:52.3073,1.0,0.7998129967274428,0.4782608695652174,0.8068256194483403,0.7998129967274428,True,0.3751168224299065,0.6124357176250584,0.43767077034959223,0.3335930196322842,0.6093640743417891,0.6093657472339099,0.5,0 days 00:02:05.748708,12H,False,random_5,50,False,next,resources/rivers_ts_east_germany.csv,2021,10
